"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae",0.0,0.00353289612862,0.0,0.000152726161992,0.0,0.00155999082358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000119840851349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae",0.0,0.000359636132854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232697294063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000112346927312,0.0,0.0,0.000126398280983,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.000722724987431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126863304789,0.0,0.0,0.000166212352902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae",0.0433570488659,0.0600380791199,0.0424586429665,0.0393269867128,0.0916807794434,0.0772654278504,0.0422008547009,0.0351728512528,0.00313052946781,0.0,0.0420849677548,0.0813717711364,0.0757045189261,0.0,0.00138639442922,0.0156991515268,0.0,0.00499290000458,0.0416275619872,0.058453419931,0.0,0.0127513762499,0.0,0.0152147569678,0.0151045945775,0.00372130724734,0.0211876509231,0.00822733423545
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae",0.00472823783928,0.0346308440872,0.0268867396094,0.0185816830423,0.000961759601915,0.0190869465474,0.00191679235797,0.00621630193467,0.00536273308834,0.002084444229,0.0554484409281,0.0294454729789,0.00879606469902,0.00153765621933,0.0,0.0138775705863,0.000317598951923,0.0101690256974,0.0121098362145,0.0061903795413,0.00555630844288,0.00426918323784,0.000353249899071,0.000740541268345,0.00281236175188,0.000773737150437,0.0149300236284,0.00893098782138
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__",0.0,0.00222128199704,0.0,0.000305452323983,0.0,0.0129387474191,0.0,0.0,0.0,0.0,0.0,0.0,0.00412706353177,0.0,0.0,0.000934758640525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae",0.152842518456,0.0396022847472,0.0967549198999,0.0620068217686,0.111208680926,0.0412479926589,0.255153343389,0.174088169997,0.178086293725,0.113093218285,0.0315138621102,0.0658115137089,0.0224695681174,0.0695544068573,0.609887512997,0.186951728105,0.314859660963,0.0817644633778,0.191274863007,0.522934848792,0.354858381895,0.322154814066,0.45054501413,0.427426955702,0.35732794034,0.419770826425,0.127930828551,0.38300405954
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae",0.0031447242233,0.00471757986038,0.00866350498525,0.00185816830423,0.0016517175772,0.00261527873365,0.00999245852187,0.00504281636537,0.00397441132435,0.00315090406709,0.0030583072934,0.023009785771,0.0034392196098,0.0106327291762,0.050981504238,0.00814917789176,0.028901504625,0.0149328935917,0.0165904756138,0.0238989242947,0.0510231738718,0.0400516795866,0.0292692773516,0.0129258112293,0.0122922328256,0.0154747430087,0.0140991353569,0.031447902571
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae",0.0,0.00228474719695,0.0,0.0250216362063,0.0,0.0103234686855,0.0,0.0,0.0,0.0,0.19473439266,0.0,0.209104552276,0.506543217955,0.00497841635945,0.000167777191889,0.000238199213943,0.251614676378,0.00326965577791,0.0,0.00101639788589,0.0,0.0,0.0,0.0106806547431,0.00029475700969,0.0,0.0
