"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0.0,0.00353289612862,0.0,0.000152726161992,0.0,0.00155999082358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000119840851349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.0,0.000359636132854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232697294063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000112346927312,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126398280983,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.000722724987431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126863304789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000166212352902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium",0.0433570488659,0.0600380791199,0.0424586429665,0.0393269867128,0.0916807794434,0.0772654278504,0.0422008547009,0.0351728512528,0.00313052946781,0.0,0.0420849677548,0.0813717711364,0.0757045189261,0.0,0.00138639442922,0.0156991515268,0.0,0.00499290000458,0.0416275619872,0.058453419931,0.0,0.0127513762499,0.0,0.0152147569678,0.0151045945775,0.00372130724734,0.0211876509231,0.00822733423545
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__",0.000223030086759,0.00289824412947,0.000112028081706,0.00244361859186,0.0,0.00151410874054,0.0,0.0,0.00103443582415,0.0,0.00166212352902,0.000264480296218,0.00225112556278,0.0,0.0,0.0012703130243,0.0,0.000183225688241,0.000514668039115,0.000253704079562,0.000135519718119,0.0,0.0,0.0,0.000221196991721,0.0,0.00283021317477,0.00146143437077
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia",0.000691393268952,0.000169240533108,0.00018671346951,0.00012727180166,0.0,0.0,0.0,0.000412305740565,0.000653327888934,0.000872558049348,0.0,0.0,0.000396031349008,0.0,0.0,0.000383490724318,0.0,0.0,0.000666040991796,0.0,0.000406559154357,0.0,0.0,0.000471253534402,0.00037919484295,0.000515824766958,0.000129826292421,0.0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella",0.0031447242233,0.030717156759,0.0249822622204,0.0156544316041,0.0,0.0174351915577,0.0,0.00513796384396,0.00353885939839,0.0,0.0532211953992,0.0289165123865,0.00614890778723,0.00153765621933,0.0,0.0122237668376,0.0,0.00966515505474,0.0109291271836,0.00568297138218,0.0,0.00426918323784,0.0,0.0,0.00189597421475,0.000257912383479,0.0118141926103,0.00633288227334
