"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
Unassigned;Other;Other;Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales",0.0,0.00353289612862,0.0,0.000152726161992,0.0,0.00155999082358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000119840851349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales",0.0,0.000359636132854,0.0,0.0,0.0,0.0,0.000722724987431,0.000126863304789,0.0,0.0,0.000398909646965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000112346927312,0.0,0.0,0.000126398280983,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales",0.0433570488659,0.0600380791199,0.0424586429665,0.0393269867128,0.0916807794434,0.0772654278504,0.0422008547009,0.0351728512528,0.00313052946781,0.0,0.0420849677548,0.0813717711364,0.0757045189261,0.0,0.00138639442922,0.0156991515268,0.0,0.00499290000458,0.0416275619872,0.058453419931,0.0,0.0127513762499,0.0,0.0152147569678,0.0151045945775,0.00372130724734,0.0211876509231,0.00822733423545
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales",0.00472823783928,0.0346308440872,0.0268867396094,0.0185816830423,0.000961759601915,0.0190869465474,0.00191679235797,0.00621630193467,0.00536273308834,0.002084444229,0.0554484409281,0.0294454729789,0.00879606469902,0.00153765621933,0.0,0.0138775705863,0.000317598951923,0.0101690256974,0.0121098362145,0.0061903795413,0.00555630844288,0.00426918323784,0.000353249899071,0.000740541268345,0.00281236175188,0.000773737150437,0.0149300236284,0.00893098782138
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales",0.162343600152,0.0645864184472,0.111243885134,0.0943084050298,0.11378034247,0.0820371644873,0.268759426848,0.185283856644,0.191969511365,0.130810994231,0.231168140416,0.101604513797,0.241224779056,0.596152587843,0.665847433595,0.225133023345,0.364802096153,0.384728138885,0.242771941509,0.616196468439,0.465306952162,0.405628581058,0.494297537344,0.460482025044,0.435947671112,0.448988615011,0.203100251863,0.456562922869
"k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00495263870095
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135519718119,0.0,0.000555106984255,0.0,0.0,0.0,0.0,0.000757780784844
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000132969882322,0.0,0.0,0.0,0.000441125500205,0.0,0.0,0.0,0.0,0.0,0.0,0.000112346927312,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales",0.00680241764614,0.00243283266342,0.0109414093133,0.00867993687319,0.00393066967739,0.0199587061253,0.000722724987431,0.00716777672058,0.00846604056077,0.00327209268506,0.0264277641114,0.0068324076523,0.000187593796898,0.000163580448865,0.0108390837193,0.000311586213508,0.0,0.00384773945307,0.0,0.0070022325959,0.000677598590595,0.000449387709246,0.00348203471942,0.000269287733944,0.00353915186753,0.000921115655282,0.0080232648716,0.000297699594046
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales",0.00196266476348,0.00194626613074,0.0,0.00341088428448,0.000815404879885,0.000596467079605,0.0,0.000222010783381,0.000136109976861,0.00155121430995,0.0205106043481,0.0,0.000312656328164,0.0,0.0,0.0,0.0,0.0,0.000999061487693,0.0,0.0,0.00252780586451,0.0,0.000269287733944,0.0,0.0,0.000363513618778,0.0
