"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__",0.0,0.00353289612862,0.0,0.000152726161992,0.0,0.00155999082358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000119840851349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__",0.0,0.000359636132854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232697294063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000112346927312,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126398280983,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__",0.0,0.0,0.0,0.0,0.0,0.0,0.000722724987431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126863304789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000166212352902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;Other",0.0,0.00308863972922,0.016356099929,0.000636359008298,0.000543603253256,0.00114705207616,0.0,0.00266412940057,0.0,0.0,0.0123994415265,0.0127832143172,0.0104635651159,0.0,0.000850742036109,0.000647140597287,0.0,0.000183225688241,0.0,0.0366348690887,0.0,0.0,0.0,0.0076747004174,0.00565632307401,0.000221067757268,0.000103861033937,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__",0.0,0.00985826105352,0.0188580604205,0.00608359211933,0.017144410295,0.00495526496903,0.0,0.000285442435775,0.000272219953723,0.0,0.00122997141148,0.0279467513004,0.000937968984492,0.0,0.0,0.0,0.0,0.0,0.0,0.0078140856505,0.0,0.0,0.0,0.000740541268345,0.00477153510712,0.0,0.000103861033937,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis",0.0247786426389,0.035752062619,0.000261398857314,0.0201343990226,0.0252357356416,0.0272539573297,0.0,0.0238503013003,0.00182387368994,0.0,0.000265939764643,0.000308560345588,0.0532766383192,0.0,0.0,0.0129907482863,0.0,0.00430580367368,0.030153492174,0.00137000202963,0.0,0.0,0.0,0.000134643866972,0.0,0.0,0.0209799288552,0.0071447902571
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum",0.018578406227,0.0113391157182,0.00698308375966,0.0124726365626,0.0487570302536,0.0439091534756,0.0422008547009,0.00837297811608,0.00103443582415,0.0,0.0281896150522,0.0403332451732,0.0110263465066,0.0,0.000535652393106,0.00206126264321,0.0,0.000503870642664,0.0114740698132,0.0126344631622,0.0,0.0127513762499,0.0,0.00666487141511,0.00467673639639,0.00350023949007,0.0,0.00108254397835
