"","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control"
"Unassigned;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000155096470004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000406559154357,0.0,0.0,0.0,0.0
"k__Archaea;p__Euryarchaeota;c__Methanobacteria",0.0,0.0,0.0,0.00304529881995,0.0,0.000587877133679,0.00540515780312,0.0,0.0,0.0,0.0,0.0,0.00281590989088,0.0,0.00435706918689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria-6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000183939457641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria",0.0252442996743,0.0321468135359,0.0286513663041,0.225923106205,0.0503193060554,0.0997501522182,0.133296688196,0.014490870102,0.0105001693576,0.0379867266905,0.0331588132635,0.0112775941133,0.00167194649771,0.023829893788,0.13498495022,0.00298421680888,0.0392579356737,0.00105465599603,0.0495326126691,0.0125880538535,0.00387516434849,0.0163011397176,0.0142563911177,0.00910264890233,0.010621582553,0.017075484483,0.00885229316547,0.0,0.00265283403207,0.0220316991884
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia",0.018451054346,0.00723198796062,0.0559564128994,0.0405405405405,0.00172654088574,0.0254676772555,0.0934909074252,0.0195919163039,0.000790335327989,0.00125307467397,0.00288442893155,0.0317798869574,0.00791974656811,0.000438202950567,0.0184386116315,0.0105442327247,0.00888164809754,0.00638997456418,0.0110971852316,0.000500187570339,0.0046709570272,0.00594832674931,0.00582198171301,0.00330719077766,0.00307963044435,0.0145683696978,0.00688511690647,0.00198765994451,0.00352921670338,0.0309105248429
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia",0.0895122578433,0.0976318374684,0.0559774491449,0.043966501713,0.0561229796351,0.0882445568876,0.0218496633228,0.186074468776,0.0875766813443,0.100222768831,0.185839635447,0.322864455583,0.0405227032735,0.35596686351,0.063461659896,0.214399398736,0.275173428631,0.475866989267,0.0796647344509,0.475678379392,0.640232509861,0.132270807792,0.260309759283,0.57085262528,0.253660989253,0.0608144735059,0.0825089928058,0.132055157563,0.397948790829,0.093036863663
"k__Bacteria;p__Cyanobacteria;c__4C0d-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00118246794198,0.0,0.0,0.0,0.0,0.0,0.0,0.0129767866704,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Cyanobacteria;c__Chloroplast",0.0,0.0,0.0,0.0,0.00291223763859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000183939457641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Elusimicrobia;c__Elusimicrobia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117169044694,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli",0.00805760329162,0.00267541751144,0.00784651955319,0.000799390940236,0.000291223763859,0.00533288542695,0.00279419174568,0.00620573136656,0.00267208610892,0.0126003619994,0.0,0.0197024634745,0.00211193241816,0.0587609289903,0.00637773895472,0.0043105353906,0.0873186882489,0.0152925119424,0.00992218914826,0.0,0.00301017230641,0.000544884893066,0.0145176338869,0.000692935210558,0.00025139840362,0.00172787640602,0.0050865557554,0.00645989481966,0.000568464435444,0.00147556414888
"k__Bacteria;p__Firmicutes;c__Clostridia",0.82003257329,0.841063478461,0.799019710962,0.634335744195,0.827096291057,0.766003905184,0.681462140992,0.750925986094,0.879530315005,0.825497749107,0.76146499903,0.558280900075,0.941877859908,0.550382905912,0.754236039487,0.736703656218,0.525935463527,0.445281965382,0.812888401483,0.474844733442,0.303716005813,0.807564818599,0.677775704422,0.365586317679,0.657029727861,0.87823553327,0.865360836331,0.848358110067,0.571212013548,0.841809346936
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi",0.0272587004972,0.0123738059904,0.0474156972464,0.044575561477,0.0599296902627,0.00904910873627,0.0559754477578,0.00217687958932,0.0136238756539,0.00784331925558,0.0147614892379,0.0219419857097,0.00259591693066,0.00248315005321,0.00458860426446,0.0159821389098,0.0521074206433,0.0160369749984,0.0197399342002,0.0119211370931,0.0107951006851,0.00840030876811,0.0194812465012,0.0170399067687,0.00672490729684,0.0162623661743,0.00573291366906,0.00443082529297,0.0027238920865,0.00282392449182
