"","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control"
"Unassigned;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000155096470004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000406559154357,0.0,0.0,0.0,0.0
"k___Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales",0.0,0.0,0.0,0.00304529881995,0.0,0.000587877133679,0.00540515780312,0.0,0.0,0.0,0.0,0.0,0.00281590989088,0.0,0.00435706918689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000183939457641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales",0.0,0.000104508496541,0.0,0.0,0.0,0.000377921014508,0.0,0.0,0.0,0.000255255952105,0.0,0.0,0.000219992960225,0.000229534878868,0.0,0.0,0.0011561908766,0.000527327998015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales",0.0252442996743,0.0320423050394,0.0286513663041,0.225923106205,0.0503193060554,0.0993722312037,0.133296688196,0.014490870102,0.0105001693576,0.0377314707384,0.0331588132635,0.0112775941133,0.00145195353749,0.0236003589091,0.13498495022,0.00298421680888,0.0381017447971,0.000527327998015,0.0495326126691,0.0125880538535,0.00387516434849,0.0163011397176,0.0142563911177,0.00910264890233,0.010621582553,0.017075484483,0.00885229316547,0.0,0.00265283403207,0.0220316991884
"k___Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales",0.018451054346,0.00723198796062,0.0559564128994,0.0405405405405,0.00172654088574,0.0254676772555,0.0934909074252,0.0195919163039,0.000790335327989,0.00125307467397,0.00288442893155,0.0317798869574,0.00791974656811,0.000438202950567,0.0184386116315,0.0105442327247,0.00888164809754,0.00638997456418,0.0110971852316,0.000500187570339,0.0046709570272,0.00594832674931,0.00582198171301,0.00330719077766,0.00307963044435,0.0145683696978,0.00688511690647,0.00198765994451,0.00352921670338,0.0309105248429
"k___Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales",0.0895122578433,0.0976318374684,0.0559774491449,0.043966501713,0.0561229796351,0.0882445568876,0.0218496633228,0.186074468776,0.0875766813443,0.100222768831,0.185839635447,0.322864455583,0.0405227032735,0.35596686351,0.063461659896,0.214399398736,0.275173428631,0.475866989267,0.0796647344509,0.475678379392,0.640232509861,0.132270807792,0.260309759283,0.57085262528,0.253660989253,0.0608144735059,0.0825089928058,0.132055157563,0.397948790829,0.093036863663
"k___Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00118246794198,0.0,0.0,0.0,0.0,0.0,0.0,0.0129767866704,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta",0.0,0.0,0.0,0.0,0.00291223763859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000183939457641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117169044694,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales",0.0,0.0,0.0,0.0,0.0,0.0,0.000183225688241,0.0,0.0,0.0,0.0,0.000159965873947,0.00017599436818,0.000146067650189,0.0,0.0,0.00112991381123,0.000682424468019,0.000156666144446,0.0,0.000103799045049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales",0.00424309960569,0.00171393934327,0.00279782064497,0.000494861058241,0.000291223763859,0.00533288542695,0.00215290183684,0.00354149067516,0.00188175078093,0.00426973592612,0.0,0.0182627706089,0.00167194649771,0.0575297873672,0.00433602054348,0.0043105353906,0.085163968888,0.0139276630064,0.00947830173899,0.0,0.0,0.0004086636698,0.0144056727001,0.000377964660304,0.00025139840362,0.00149071689931,0.00320368705036,0.00645989481966,0.000568464435444,0.000483374462564
"k___Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales",0.00381450368592,0.000961478168175,0.00504869890822,0.000304529881995,0.0,0.0,0.000458064220604,0.0026642406914,0.000790335327989,0.00833062607324,0.0,0.00127972699158,0.00026399155227,0.00108507397283,0.00204171841125,0.0,0.00102480554972,0.000682424468019,0.000287221264818,0.0,0.00290637326137,0.000136221223267,0.000111961186789,0.000314970550254,0.0,0.000237159506708,0.00188286870504,0.0,0.0,0.000992189686315
"k___Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales",0.82003257329,0.841063478461,0.799019710962,0.634335744195,0.827096291057,0.766003905184,0.681462140992,0.750925986094,0.879530315005,0.825497749107,0.76146499903,0.558280900075,0.941877859908,0.550382905912,0.754236039487,0.736703656218,0.525935463527,0.445281965382,0.812888401483,0.474844733442,0.303716005813,0.806520455887,0.677775704422,0.365586317679,0.657029727861,0.878032253693,0.865360836331,0.848358110067,0.571212013548,0.841809346936
"k___Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00104436271171,0.0,0.0,0.0,0.000203279577178,0.0,0.0,0.0,0.0
"k___Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales",0.0272587004972,0.0123738059904,0.0474156972464,0.044575561477,0.0599296902627,0.00904910873627,0.0559754477578,0.00217687958932,0.0136238756539,0.00784331925558,0.0147614892379,0.0219419857097,0.00259591693066,0.00248315005321,0.00458860426446,0.0159821389098,0.0521074206433,0.0160369749984,0.0197399342002,0.0119211370931,0.0107951006851,0.00840030876811,0.0194812465012,0.0170399067687,0.00672490729684,0.0162623661743,0.00573291366906,0.00443082529297,0.0027238920865,0.00282392449182
"k___Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales",0.0,0.0,0.0,0.000456794822992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024219777178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales",0.0,0.0,0.0,0.000228397411496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32",0.0,0.0,0.0,0.0,0.0,0.0,0.000274838532362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00203279577178,0.0,0.0,0.0,0.0
"k___Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales",0.0,0.0,0.0,0.0,0.0,0.000839824476684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000578095438301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000472987176792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales",0.007350420024,0.00441025855402,0.00445968403559,0.00182717929197,0.0,0.00428310483109,0.0,0.0157580089674,0.00485491701479,0.0102102380842,0.000896839247625,0.00527887384025,0.0,0.00536276944265,0.00261003178345,0.0136831867014,0.00436199285264,0.035889323159,0.00801608439083,0.0105039389771,0.0225243927756,0.0101711846706,0.00649374883374,0.00226778796183,0.0651121865376,0.00281203415097,0.00266973920863,0.00227752701975,0.0154432838296,0.00501182995395
"k___Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105108261509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales",0.0,0.0,0.0,0.0,0.0,0.000230951731088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000131385326887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales",0.0,0.000271722091006,0.00046279739992,0.0,0.0,0.0,0.00224451468096,0.000649814802781,0.000451620187422,0.000603332250429,0.000993794841962,0.00069318545377,0.0,0.0,0.00185228062051,0.00139263451081,0.0,0.00303989081209,0.0,0.00279271393439,0.000345996816829,0.00104436271171,0.000821048703116,0.00245677029198,0.0024511344353,0.00155847675837,0.00432778776978,0.000372686239596,0.00213174163291,0.00264583916351
"k___Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales",0.00272158409052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales",0.00120006857535,0.0,0.0,0.00190331176247,0.00160173070123,0.000209956119171,0.0,0.000454870361947,0.0,0.0011834594143,0.0,0.0275141303189,0.0,0.000688604636605,0.000231535077564,0.0,0.000630649569056,0.0,0.00845997180009,0.000291776082698,0.00166078472078,0.00785542387504,0.000186601977981,0.00214179974172,0.00050279680724,0.00155847675837,0.00160184352518,0.00405813905338,0.000829010635022,0.000254407611876
"k___Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales",0.000171438367907,0.0,0.000210362454509,0.0,0.0,0.0,0.0,0.00315160179349,0.0,0.00259896969416,0.0,0.000666524474779,0.0,0.00208668071698,0.0,0.0,0.00294303132226,0.000992617408028,0.00041777638519,0.000291776082698,0.0089267178742,0.000136221223267,0.000223922373577,0.0,0.000565646408145,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000131385326887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236493588396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000111961186789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__TM7;c__TM7-3;o__",0.0,0.000104508496541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000317849520955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Tenericutes;c__Mollicutes;o__RF39",0.0,0.0,0.0,0.00186524552722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026399155227,0.0,0.0,0.0,0.000183939457641,0.0,0.0,0.0,0.0,0.000317849520955,0.0,0.0018583262465,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Tenericutes;c__RF3;o__ML615J-28",0.0,0.0,0.0,0.0,0.0,0.0,0.00119096697357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00281523861418,0.0,0.0,0.0,0.000609838731535,0.00132081834532,0.0,0.0,0.0
"k___Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales]",0.0,0.0,0.0,0.000418728587743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k___Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales",0.0,0.00209016993082,0.0,0.000114198705748,0.0,0.0,0.00201548257066,0.000519851842225,0.0,0.0,0.0,0.0,0.000219992960225,0.0,0.00886147887769,0.0,0.0,0.0,0.000261110240744,0.0105873035722,0.0,0.00631158334469,0.0,0.0,0.0,0.00233771513755,0.015653102518,0.0,0.00296075226794,0.0
