"","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control"
"Unassigned;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000155096470004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000406559154357,0.0,0.0,0.0,0.0
"k__Archaea;p__Euryarchaeota",0.0,0.0,0.0,0.00304529881995,0.0,0.000587877133679,0.00540515780312,0.0,0.0,0.0,0.0,0.0,0.00281590989088,0.0,0.00435706918689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Acidobacteria",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000183939457641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria",0.0436953540202,0.0393788014966,0.0846077792036,0.266463646745,0.0520458469411,0.125217829474,0.226787595621,0.0340827864059,0.0112905046856,0.0392398013645,0.0360432421951,0.0430574810707,0.00959169306582,0.0242680967385,0.153423561851,0.0135284495336,0.0481395837713,0.00744463056021,0.0606297979007,0.0130882414239,0.00854612137568,0.0222494664669,0.0200783728308,0.01240983968,0.0137012129973,0.0316438541808,0.0157374100719,0.00198765994451,0.00618205073545,0.0529422240313
"k__Bacteria;p__Bacteroidetes",0.0895122578433,0.0976318374684,0.0559774491449,0.043966501713,0.0561229796351,0.0882445568876,0.0218496633228,0.186074468776,0.0875766813443,0.100222768831,0.185839635447,0.322864455583,0.0405227032735,0.35596686351,0.063461659896,0.214399398736,0.275173428631,0.475866989267,0.0796647344509,0.475678379392,0.640232509861,0.132270807792,0.260309759283,0.57085262528,0.253660989253,0.0608144735059,0.0825089928058,0.132055157563,0.397948790829,0.093036863663
"k__Bacteria;p__Cyanobacteria",0.0,0.0,0.0,0.0,0.00291223763859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00136640739962,0.0,0.0,0.0,0.0,0.0,0.0,0.0129767866704,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Elusimicrobia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117169044694,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes",0.855348877079,0.856112701963,0.854281927762,0.679710696612,0.887317205084,0.780385899347,0.740231780496,0.75930859705,0.895826276768,0.845941430362,0.776226488268,0.599925349259,0.946585709257,0.611626984955,0.765202382706,0.756996330519,0.66536157242,0.476611452323,0.842550524832,0.486765870535,0.317521278804,0.81651001226,0.711774584811,0.383319159659,0.664006033562,0.89622577585,0.876180305755,0.859248830179,0.57450437007,0.846108835576
"k__Bacteria;p__Fusobacteria",0.0,0.0,0.0,0.000456794822992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024219777178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Lentisphaerae",0.0,0.0,0.0,0.000228397411496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Proteobacteria",0.0114435110578,0.00468198064503,0.00513284389002,0.00373049105443,0.00160173070123,0.00556383715803,0.00251935321332,0.0200142959257,0.00530653720221,0.0145959994431,0.00189063408959,0.0341527140877,0.0,0.00813805479624,0.00469384748153,0.0150758212123,0.00959112886273,0.0399218313791,0.0168938325761,0.0138802050769,0.0334578921874,0.0192071924806,0.00772532188841,0.00686635799553,0.0686317641883,0.00796178343949,0.0085993705036,0.00670835231273,0.0184040360975,0.00791207672934
"k__Bacteria;p__Synergistetes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000111961186789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__TM7",0.0,0.000104508496541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Tenericutes",0.0,0.0,0.0,0.00186524552722,0.0,0.0,0.00119096697357,0.0,0.0,0.0,0.0,0.0,0.00026399155227,0.0,0.0,0.0,0.000183939457641,0.0,0.0,0.0,0.0,0.00345093765609,0.0,0.0018583262465,0.0,0.000609838731535,0.00132081834532,0.0,0.0,0.0
"k__Bacteria;p__Verrucomicrobia",0.0,0.00209016993082,0.0,0.000532927293491,0.0,0.0,0.00201548257066,0.000519851842225,0.0,0.0,0.0,0.0,0.000219992960225,0.0,0.00886147887769,0.0,0.0,0.0,0.000261110240744,0.0105873035722,0.0,0.00631158334469,0.0,0.0,0.0,0.00233771513755,0.015653102518,0.0,0.00296075226794,0.0
